Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type B1,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.253j),4.344511853575704e-06j,(0.972+0.003j),(5.541+56.81j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.5,-17.6,692.0,-10.6,63.1,2.97,False,495,1224,272.81,84.4,194.54,42.2
Tower Type B1,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.244j),4.505710892106696e-06j,(0.972+0.003j),(5.541+54.778j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.1,-17.0,692.9,-11.0,63.7,2.97,False,495,1224,280.91,84.2,200.4,42.1
Tower Type B1,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.223j),4.9158207409105975e-06j,(0.972+0.002j),(3.694+50.206j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.4,-15.5,695.4,-12.0,77.6,1.99,False,495,1224,317.23,85.8,225.77,42.9
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.208j),5.272977866755299e-06j,(0.972+0.002j),(3.694+46.806j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.8,-14.5,697.7,-12.8,78.9,1.99,False,495,1224,336.74,85.5,239.8,42.7
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.199j),5.527920450937468e-06j,(0.972+0.002j),(2.77+44.646j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.1,-13.8,699.4,-13.5,92.1,1.5,False,495,1224,360.47,86.4,256.3,43.2
Tower Type B2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.443j),2.4783709037108816e-06j,(0.972+0.039j),(135.747+101.357j),(-0+0.001j),(0.972+0.039j),132.0,699.8,73.8,-63.2,682.5,-3.9,42.9,72.17,True,110,308,31.73,36.7,28.8,18.4
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.31j),3.5397531334770054e-06j,(0.972+0.028j),(67.875+70.355j),(-0+0.001j),(0.972+0.028j),132.0,699.8,92.8,-29.4,686.4,-7.2,49.2,36.22,True,110,308,64.12,46.0,54.15,23.0
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.301j),3.646033178574553e-06j,(0.972+0.028j),(67.875+68.342j),(-0+0.001j),(0.972+0.028j),132.0,699.8,92.0,-28.6,686.8,-7.4,49.9,36.24,True,110,308,64.14,45.2,54.46,22.6
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.268j),4.101697355857075e-06j,(0.972+0.021j),(45.25+60.495j),(-0+0.001j),(0.972+0.021j),132.0,699.8,104.4,-22.3,689.3,-8.9,55.5,24.21,True,110,308,95.98,53.2,76.67,26.6
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.252j),4.347394433587209e-06j,(0.972+0.023j),(45.25+57.114j),(-0+0.001j),(0.972+0.023j),132.0,699.8,103.4,-21.0,690.4,-9.4,56.9,24.24,True,110,308,96.18,51.6,77.49,25.8
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.236j),4.644685940719138e-06j,(0.972+0.018j),(33.938+53.342j),(-0+0.001j),(0.972+0.018j),132.0,699.8,110.2,-18.5,692.3,-10.4,61.9,18.21,True,110,308,126.95,57.5,98.56,28.8
Tower Type B2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.406j),2.7064494980165873e-06j,(0.972+0.013j),(41.386+91.367j),(-0+0.001j),(0.972+0.013j),132.0,699.8,117.2,-32.1,684.2,-6.0,44.5,22.03,True,216,636,97.73,65.6,73.11,32.8
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.291j),3.7664211017202773e-06j,(0.972+0.009j),(20.693+65.587j),(-0+0.001j),(0.972+0.009j),132.0,699.8,122.3,-21.5,688.6,-8.8,52.5,11.06,True,216,636,169.26,72.5,123.85,36.2
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.282j),3.8869800139192675e-06j,(0.972+0.009j),(20.693+63.557j),(-0+0.001j),(0.972+0.009j),132.0,699.8,121.7,-20.8,689.1,-9.1,53.2,11.07,True,216,636,171.77,72.0,125.89,36.0
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.255j),4.301683115058902e-06j,(0.972+0.007j),(13.796+57.403j),(-0+0.001j),(0.972+0.007j),132.0,699.8,125.0,-18.3,691.4,-10.2,60.5,7.4,True,216,636,217.58,76.5,157.62,38.2
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.24j),4.572714666294702e-06j,(0.972+0.007j),(13.796+54.004j),(-0+0.001j),(0.972+0.007j),132.0,699.8,124.2,-17.3,692.9,-10.9,61.8,7.41,True,216,636,225.65,75.7,163.81,37.8
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.227j),4.835612411215029e-06j,(0.972+0.006j),(10.347+51.056j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.0,-16.1,694.6,-11.6,68.4,5.56,True,216,636,258.72,78.5,186.62,39.3
Tower Type B2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.39j),2.8170357383876282e-06j,(0.972+0.008j),(24.934+87.675j),(-0+0.001j),(0.972+0.008j),132.0,699.8,126.2,-28.5,684.8,-6.5,46.1,13.28,True,299,875,134.93,74.1,98.02,37.1
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.283j),3.872191594001406e-06j,(0.972+0.006j),(12.467+63.758j),(-0+0.001j),(0.972+0.006j),132.0,699.8,127.4,-20.2,689.3,-9.3,55.6,6.67,True,299,875,210.86,78.9,151.85,39.5
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.274j),3.999731415782102e-06j,(0.972+0.006j),(12.467+61.726j),(-0+0.001j),(0.972+0.006j),132.0,699.8,126.9,-19.5,690.0,-9.6,56.3,6.67,True,299,875,215.33,78.6,155.21,39.3
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.25j),4.393050708387671e-06j,(0.972+0.004j),(8.311+56.189j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.5,-17.6,692.1,-10.6,65.1,4.46,True,299,875,256.01,81.6,183.49,40.8
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.235j),4.6760967169005954e-06j,(0.972+0.004j),(8.311+52.79j),(-0+0.001j),(0.972+0.004j),132.0,699.8,127.8,-16.5,693.7,-11.3,66.5,4.47,True,299,875,268.05,81.1,192.35,40.5
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.223j),4.921917141501634e-06j,(0.972+0.004j),(6.234+50.149j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.7,-15.6,695.3,-11.9,74.7,3.35,False,299,875,295.68,82.9,211.47,41.5
Tower Type B2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.375j),2.9231290351695497e-06j,(0.972+0.005j),(15.897+84.456j),(-0+0.001j),(0.972+0.005j),132.0,699.8,130.9,-26.5,685.3,-7.0,48.3,8.47,True,405,997,164.18,79.3,117.88,39.7
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.276j),3.971252417961687e-06j,(0.972+0.004j),(7.949+62.154j),(-0+0.001j),(0.972+0.004j),132.0,699.8,130.0,-19.3,690.0,-9.6,60.1,4.25,True,405,997,239.71,82.7,171.39,41.4
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.267j),4.1055144500563375e-06j,(0.972+0.004j),(7.949+60.122j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.6,-18.7,690.6,-9.9,60.8,4.26,True,405,997,245.74,82.5,175.8,41.2
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.245j),4.477526194262683e-06j,(0.972+0.003j),(5.299+55.123j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.3,-17.1,692.7,-10.9,71.9,2.84,False,405,997,281.26,84.5,200.56,42.3
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.23j),4.771927191903771e-06j,(0.972+0.003j),(5.299+51.722j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.6,-16.0,694.4,-11.6,73.3,2.85,False,405,997,296.14,84.2,211.33,42.1
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.219j),5.001203122149354e-06j,(0.972+0.002j),(3.974+49.349j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.1,-15.3,695.9,-12.2,83.7,2.14,False,405,997,319.4,85.4,227.46,42.7
Tower Type B2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.364j),3.0141344573676314e-06j,(0.972+0.004j),(11.082+81.892j),(-0+0.001j),(0.972+0.004j),132.0,699.8,133.2,-25.2,685.8,-7.3,51.1,5.91,True,495,1224,184.02,82.3,131.46,41.1
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.271j),4.0544060841512455e-06j,(0.972+0.003j),(5.541+60.875j),(-0+0.001j),(0.972+0.003j),132.0,699.8,131.4,-18.8,690.5,-9.9,65.6,2.97,False,495,1224,258.13,84.8,183.92,42.4
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.262j),4.194448718848093e-06j,(0.972+0.003j),(5.541+58.843j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.9,-18.2,691.2,-10.2,66.2,2.97,False,495,1224,265.23,84.6,189.06,42.3
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.241j),4.547632798356005e-06j,(0.972+0.002j),(3.694+54.27j),(-0+0.001j),(0.972+0.002j),132.0,699.8,131.2,-16.7,693.2,-11.1,80.1,1.98,False,495,1224,296.97,86.1,211.21,43.1
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.226j),4.851638073011554e-06j,(0.972+0.002j),(3.694+50.87j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.6,-15.7,695.0,-11.8,81.4,1.99,False,495,1224,313.71,85.8,223.23,42.9
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.217j),5.066635213222634e-06j,(0.972+0.002j),(2.77+48.711j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.8,-15.0,696.4,-12.4,94.6,1.49,False,495,1224,333.99,86.7,237.34,43.4
Tower Type B1 – Double,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.305+0.425j),2.5838386906892727e-06j,(0.972+0.02j),(67.876+95.977j),(-0+0.001j),(0.972+0.02j),132.0,699.8,103.4,-38.6,683.5,-5.3,43.3,36.11,True,110,308,63.58,54.7,50.59,27.4
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.152+0.292j),3.7588928284601294e-06j,(0.972+0.015j),(33.938+65.824j),(-0+0.001j),(0.972+0.015j),132.0,699.8,113.5,-22.9,688.2,-8.5,52.6,18.14,True,110,308,122.56,62.7,93.01,31.4
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.152+0.283j),3.878962597219783e-06j,(0.972+0.015j),(33.938+63.797j),(-0+0.001j),(0.972+0.015j),132.0,699.8,112.9,-22.2,688.7,-8.7,53.3,18.15,True,110,308,123.37,62.0,93.93,31.0
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.102+0.249j),4.3988582926442925e-06j,(0.972+0.011j),(22.625+56.191j),(-0+0.001j),(0.972+0.011j),132.0,699.8,118.6,-18.6,691.6,-10.2,61.8,12.13,True,110,308,171.72,68.1,127.44,34.0
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.102+0.234j),4.682677340496768e-06j,(0.972+0.012j),(22.625+52.796j),(-0+0.001j),(0.972+0.012j),132.0,699.8,117.9,-17.4,693.1,-10.9,63.2,12.15,True,110,308,175.58,66.8,130.84,33.4
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.076+0.218j),5.029421686258565e-06j,(0.972+0.01j),(16.969+49.126j),(-0+0.001j),(0.972+0.01j),132.0,699.8,121.0,-15.9,695.4,-11.8,71.1,9.13,True,110,308,215.34,70.9,158.29,35.5
Tower Type B1 – Double,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.093+0.387j),2.8327168972285187e-06j,(0.972+0.007j),(20.693+87.169j),(-0+0.001j),(0.972+0.007j),132.0,699.8,128.7,-27.8,684.9,-6.7,46.6,11.02,True,216,636,146.92,76.6,106.06,38.3
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.046+0.273j),4.0155120477312335e-06j,(0.972+0.005j),(10.347+61.476j),(-0+0.001j),(0.972+0.005j),132.0,699.8,128.3,-19.3,690.1,-9.7,59.1,5.54,True,216,636,227.76,80.4,163.55,40.2
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.046+0.264j),4.1528352016030125e-06j,(0.972+0.005j),(10.347+59.444j),(-0+0.001j),(0.972+0.005j),132.0,699.8,127.8,-18.7,690.8,-10.0,59.8,5.54,True,216,636,233.14,80.1,167.54,40.1
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.031+0.237j),4.629686343379485e-06j,(0.972+0.004j),(6.898+53.315j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.8,-16.6,693.5,-11.2,71.6,3.7,False,216,636,276.72,82.6,197.98,41.3
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.031+0.222j),4.9451414956005e-06j,(0.972+0.004j),(6.898+49.915j),(-0+0.001j),(0.972+0.004j),132.0,699.8,128.2,-15.6,695.4,-12.0,73.0,3.71,False,216,636,291.11,82.1,208.5,41.1
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.023+0.209j),5.254053275215045e-06j,(0.972+0.003j),(5.173+46.977j),(-0+0.001j),(0.972+0.003j),132.0,699.8,128.8,-14.6,697.4,-12.7,84.2,2.79,False,216,636,321.36,83.7,229.54,41.9
Tower Type B1 – Double,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.056+0.372j),2.9540938618574357e-06j,(0.972+0.004j),(12.467+83.56j),(-0+0.001j),(0.972+0.004j),132.0,699.8,132.9,-25.8,685.5,-7.1,49.7,6.64,True,299,875,176.74,81.5,126.4,40.8
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.028+0.265j),4.135959044669734e-06j,(0.972+0.003j),(6.234+59.676j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.6,-18.5,690.9,-10.1,65.4,3.34,False,299,875,257.86,84.0,183.97,42.0
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.028+0.256j),4.2817934801743536e-06j,(0.972+0.003j),(6.234+57.644j),(-0+0.001j),(0.972+0.003j),132.0,699.8,130.2,-17.9,691.6,-10.4,66.1,3.34,False,299,875,264.98,83.8,189.14,41.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.019+0.232j),4.735690385091749e-06j,(0.972+0.002j),(4.156+52.116j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.5,-16.1,694.3,-11.5,81.0,2.23,False,299,875,303.57,85.4,216.15,42.7
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.019+0.217j),5.066272358331339e-06j,(0.972+0.002j),(4.156+48.716j),(-0+0.001j),(0.972+0.002j),132.0,699.8,129.8,-15.1,696.3,-12.3,82.4,2.24,False,299,875,321.24,85.1,228.89,42.6
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.014+0.205j),5.356098298432733e-06j,(0.972+0.002j),(3.117+46.079j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.1,-14.2,698.3,-13.0,96.7,1.68,False,299,875,347.1,86.1,246.92,43.1
Tower Type B1 – Double,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.036+0.357j),3.0709760466122096e-06j,(0.972+0.003j),(7.949+80.37j),(-0+0.001j),(0.972+0.003j),132.0,699.8,134.8,-24.5,686.0,-7.5,54.2,4.24,True,405,997,198.23,84.4,141.17,42.2
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.018+0.258j),4.249172540753887e-06j,(0.972+0.002j),(3.974+58.082j),(-0+0.001j),(0.972+0.002j),132.0,699.8,131.8,-17.8,691.6,-10.4,74.4,2.13,False,405,997,278.55,86.1,198.09,43.0
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.018+0.249j),4.4032488016983794e-06j,(0.972+0.002j),(3.974+56.05j),(-0+0.001j),(0.972+0.002j),132.0,699.8,131.4,-17.2,692.4,-10.8,75.0,2.13,False,405,997,286.96,85.9,204.13,43.0
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.012+0.227j),4.8340046904872875e-06j,(0.972+0.001j),(2.65+51.054j),(-0+0.001j),(0.972+0.001j),132.0,699.8,131.3,-15.7,695.0,-11.8,94.5,1.42,False,405,997,321.61,87.0,228.42,43.5
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.012+0.212j),5.178954999437324e-06j,(0.972+0.002j),(2.65+47.654j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.7,-14.7,697.1,-12.6,95.9,1.43,False,405,997,341.61,86.8,242.73,43.4
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.009+0.201j),5.450123107753459e-06j,(0.972+0.001j),(1.987+45.283j),(-0+0.001j),(0.972+0.001j),132.0,699.8,130.8,-14.0,699.0,-13.3,114.7,1.07,False,405,997,364.24,87.5,258.55,43.7
Tower Type B1 – Double,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.025+0.346j),3.1715784957800177e-06j,(0.972+0.002j),(5.541+77.817j),(-0+0.001j),(0.972+0.002j),132.0,699.8,135.7,-23.5,686.5,-7.8,59.7,2.96,False,495,1224,212.83,85.9,151.25,43.0
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.012+0.253j),4.344511853575704e-06j,(0.972+0.001j),(2.77+56.807j),(-0+0.001j),(0.972+0.001j),132.0,699.8,132.4,-17.4,692.1,-10.7,85.3,1.49,False,495,1224,292.27,87.2,207.5,43.6
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.012+0.244j),4.505710892106696e-06j,(0.972+0.001j),(2.77+54.774j),(-0+0.001j),(0.972+0.001j),132.0,699.8,132.0,-16.8,693.0,-11.0,85.9,1.49,False,495,1224,301.6,87.1,214.17,43.6
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.008+0.223j),4.9158207409105975e-06j,(0.972+0.001j),(1.847+50.204j),(-0+0.001j),(0.972+0.001j),132.0,699.8,131.7,-15.4,695.5,-12.0,110.9,0.99,False,495,1224,333.41,87.9,236.49,43.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.008+0.208j),5.272977866755299e-06j,(0.972+0.001j),(1.847+46.804j),(-0+0.001j),(0.972+0.001j),132.0,699.8,131.1,-14.4,697.8,-12.9,112.2,1.0,False,495,1224,355.01,87.7,251.89,43.9
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.006+0.199j),5.527920450937468e-06j,(0.972+0.001j),(1.385+44.645j),(-0+0.001j),(0.972+0.001j),132.0,699.8,131.1,-13.7,699.5,-13.5,136.5,0.75,False,495,1224,375.4,88.2,266.17,44.1
Tower Type B2 – Double,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.305+0.443j),2.4783709037108816e-06j,(0.972+0.019j),(67.876+100.023j),(-0+0.001j),(0.972+0.019j),132.0,699.8,105.2,-39.9,683.2,-5.0,45.8,36.1,True,110,308,63.46,55.8,50.09,27.9
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.152+0.31j),3.5397531334770054e-06j,(0.972+0.014j),(33.938+69.879j),(-0+0.001j),(0.972+0.014j),132.0,699.8,114.6,-24.2,687.2,-8.0,55.1,18.12,True,110,308,120.88,64.1,91.19,32.0
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.152+0.301j),3.646033178574553e-06j,(0.972+0.014j),(33.938+67.851j),(-0+0.001j),(0.972+0.014j),132.0,699.8,114.0,-23.6,687.7,-8.2,55.8,18.13,True,110,308,121.73,63.4,92.1,31.7
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.102+0.268j),4.101697355857075e-06j,(0.972+0.011j),(22.625+60.25j),(-0+0.001j),(0.972+0.011j),132.0,699.8,119.6,-19.9,690.1,-9.5,64.3,12.11,True,110,308,167.16,69.4,123.51,34.7
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.102+0.252j),4.347394433587209e-06j,(0.972+0.011j),(22.625+56.854j),(-0+0.001j),(0.972+0.011j),132.0,699.8,118.8,-18.8,691.3,-10.1,65.7,12.13,True,110,308,170.97,68.3,126.79,34.1
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.076+0.236j),4.644685940719138e-06j,(0.972+0.009j),(16.969+53.186j),(-0+0.001j),(0.972+0.009j),132.0,699.8,121.9,-17.2,693.1,-10.9,73.6,9.11,True,110,308,207.26,72.3,151.78,36.2
Tower Type B2 – Double,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.093+0.406j),2.7064494980165873e-06j,(0.972+0.006j),(20.693+91.231j),(-0+0.001j),(0.972+0.006j),132.0,699.8,130.1,-29.0,684.5,-6.4,49.1,11.02,True,216,636,143.53,77.2,103.41,38.6
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.046+0.291j),3.7664211017202773e-06j,(0.972+0.004j),(10.347+65.54j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.2,-20.5,688.9,-9.1,61.6,5.53,True,216,636,217.84,81.0,156.2,40.5
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.046+0.282j),3.8869800139192675e-06j,(0.972+0.005j),(10.347+63.508j),(-0+0.001j),(0.972+0.005j),132.0,699.8,128.7,-19.9,689.5,-9.4,62.3,5.54,True,216,636,222.67,80.7,159.78,40.4
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.031+0.255j),4.301683115058902e-06j,(0.972+0.003j),(6.898+57.379j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.7,-17.8,691.7,-10.4,74.1,3.7,False,216,636,261.47,83.1,186.86,41.6
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.031+0.24j),4.572714666294702e-06j,(0.972+0.004j),(6.898+53.979j),(-0+0.001j),(0.972+0.004j),132.0,699.8,129.0,-16.8,693.2,-11.1,75.5,3.7,False,216,636,274.09,82.7,196.06,41.4
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.023+0.227j),4.835612411215029e-06j,(0.972+0.003j),(5.173+51.041j),(-0+0.001j),(0.972+0.003j),132.0,699.8,129.6,-15.8,694.8,-11.8,86.7,2.78,False,216,636,300.39,84.2,214.34,42.1
Tower Type B2 – Double,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.056+0.39j),2.8170357383876282e-06j,(0.972+0.004j),(12.467+87.624j),(-0+0.001j),(0.972+0.004j),132.0,699.8,134.1,-27.0,685.0,-6.8,52.2,6.64,True,299,875,171.4,81.9,122.45,41.0
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.028+0.283j),3.872191594001406e-06j,(0.972+0.003j),(6.234+63.74j),(-0+0.001j),(0.972+0.003j),132.0,699.8,131.6,-19.6,689.6,-9.4,67.9,3.34,False,299,875,244.89,84.4,174.57,42.2
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.028+0.274j),3.999731415782102e-06j,(0.972+0.003j),(6.234+61.708j),(-0+0.001j),(0.972+0.003j),132.0,699.8,131.1,-19.1,690.2,-9.7,68.6,3.34,False,299,875,251.17,84.2,179.13,42.1
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.019+0.25j),4.393050708387671e-06j,(0.972+0.002j),(4.156+56.181j),(-0+0.001j),(0.972+0.002j),132.0,699.8,131.3,-17.3,692.3,-10.7,83.5,2.23,False,299,875,285.11,85.8,202.87,42.9
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.019+0.235j),4.6760967169005954e-06j,(0.972+0.002j),(4.156+52.78j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.6,-16.3,693.9,-11.4,84.9,2.23,False,299,875,300.37,85.5,213.85,42.7
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.014+0.223j),4.921917141501634e-06j,(0.972+0.002j),(3.117+50.143j),(-0+0.001j),(0.972+0.002j),132.0,699.8,130.8,-15.5,695.5,-12.0,99.2,1.68,False,299,875,322.61,86.4,229.35,43.2
Tower Type B2 – Double,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.036+0.375j),2.9231290351695497e-06j,(0.972+0.003j),(7.949+84.434j),(-0+0.001j),(0.972+0.003j),132.0,699.8,136.1,-25.6,685.5,-7.1,56.7,4.24,True,405,997,191.3,84.6,136.14,42.3
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.018+0.276j),3.971252417961687e-06j,(0.972+0.002j),(3.974+62.147j),(-0+0.001j),(0.972+0.002j),132.0,699.8,132.7,-19.0,690.1,-9.7,76.9,2.13,False,405,997,263.32,86.3,187.16,43.2
