Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type B1,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.208j),5.272977866755299e-06j,(0.999+0j),(0.53+6.659j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.0,0.7,-1.8,11.1,0.28,495,1224,2395.12,85.4,1704.91,42.7
Tower Type B1,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.199j),5.527920450937468e-06j,(0.999+0j),(0.398+6.352j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-1.9,0.7,-1.9,13.0,0.21,495,1224,2561.51,86.4,1820.81,43.2
Tower Type B2,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.443j),2.4783709037108816e-06j,(0.999+0.001j),(19.496+14.173j),(-0+0j),(0.999+0.001j),132.0,699.8,118.7,-4.7,0.7,-0.8,6.0,10.34,110,308,177.26,36.0,145.42,18.0
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.31j),3.5397531334770054e-06j,(0.999+0.001j),(9.748+9.922j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-3.1,0.7,-1.2,6.9,5.17,110,308,398.07,45.5,305.54,22.8
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.301j),3.646033178574553e-06j,(0.999+0.001j),(9.748+9.632j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-3.0,0.7,-1.2,7.0,5.17,110,308,392.06,44.7,301.57,22.3
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.268j),4.101697355857075e-06j,(0.999+0j),(6.499+8.562j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.7,0.7,-1.4,7.8,3.45,110,308,651.35,52.8,488.04,26.4
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.252j),4.347394433587209e-06j,(0.999+0j),(6.499+8.078j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.5,0.7,-1.5,8.0,3.45,110,308,640.48,51.2,481.22,25.6
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.236j),4.644685940719138e-06j,(0.999+0j),(4.874+7.561j),(-0+0j),(0.999+0j),132.0,699.8,128.6,-2.3,0.7,-1.6,8.7,2.58,110,308,890.93,57.2,660.7,28.6
Tower Type B2,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.406j),2.7064494980165873e-06j,(0.999+0j),(5.944+12.974j),(-0+0j),(0.999+0j),132.0,699.8,128.1,-4.0,0.7,-0.9,6.3,3.15,216,636,705.94,65.4,518.25,32.7
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.291j),3.7664211017202773e-06j,(0.999+0j),(2.972+9.323j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.9,0.7,-1.3,7.4,1.58,216,636,1229.19,72.3,891.37,36.2
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.282j),3.8869800139192675e-06j,(0.999+0j),(2.972+9.034j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.8,0.7,-1.3,7.5,1.58,216,636,1249.08,71.8,906.41,35.9
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.255j),4.301683115058902e-06j,(0.999+0j),(1.981+8.163j),(-0+0j),(0.999+0j),132.0,699.8,130.7,-2.5,0.7,-1.5,8.5,1.05,216,636,1573.93,76.4,1134.69,38.2
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.24j),4.572714666294702e-06j,(0.999+0j),(1.981+7.679j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.3,0.7,-1.6,8.7,1.05,216,636,1636.9,75.5,1181.35,37.8
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.227j),4.835612411215029e-06j,(0.999+0j),(1.486+7.261j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.2,0.7,-1.7,9.6,0.79,216,636,1868.66,78.4,1343.21,39.2
Tower Type B2,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.39j),2.8170357383876282e-06j,(0.999+0j),(3.581+12.465j),(-0+0j),(0.999+0j),132.0,699.8,129.7,-3.8,0.7,-1.0,6.5,1.9,299,875,962.01,74.0,696.36,37.0
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.283j),3.872191594001406e-06j,(0.999+0j),(1.79+9.068j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.8,0.7,-1.3,7.8,0.95,299,875,1509.62,78.8,1084.7,39.4
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.056+0.274j),3.999731415782102e-06j,(0.999+0j),(1.79+8.779j),(-0+0j),(0.999+0j),132.0,699.8,130.8,-2.7,0.7,-1.4,7.9,0.95,299,875,1545.59,78.5,1111.07,39.2
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.037+0.25j),4.393050708387671e-06j,(0.999+0j),(1.194+7.993j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.4,0.7,-1.5,9.2,0.63,299,875,1828.46,81.5,1308.82,40.8
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.037+0.235j),4.6760967169005954e-06j,(0.999+0j),(1.194+7.509j),(-0+0j),(0.999+0j),132.0,699.8,131.2,-2.3,0.7,-1.6,9.4,0.63,299,875,1922.25,81.0,1376.96,40.5
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.028+0.223j),4.921917141501634e-06j,(0.999+0j),(0.895+7.134j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.2,0.7,-1.7,10.5,0.47,299,875,2113.26,82.8,1509.81,41.4
Tower Type B2,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.071+0.375j),2.9231290351695497e-06j,(0.999+0j),(2.283+12.012j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-3.7,0.7,-1.0,6.8,1.21,405,997,1149.41,79.2,825.57,39.6
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.036+0.276j),3.971252417961687e-06j,(0.999+0j),(1.142+8.842j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.7,0.7,-1.4,8.5,0.61,405,997,1696.13,82.6,1212.19,41.3
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.036+0.267j),4.1055144500563375e-06j,(0.999+0j),(1.142+8.553j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.6,0.7,-1.4,8.6,0.61,405,997,1743.88,82.4,1246.74,41.2
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.024+0.245j),4.477526194262683e-06j,(0.999+0j),(0.761+7.842j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.4,0.7,-1.5,10.1,0.4,405,997,1991.19,84.5,1419.39,42.2
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.024+0.23j),4.771927191903771e-06j,(0.999+0j),(0.761+7.358j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.2,0.7,-1.6,10.3,0.4,405,997,2105.88,84.1,1501.91,42.0
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.018+0.219j),5.001203122149354e-06j,(0.999+0j),(0.571+7.021j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,0.7,-1.7,11.8,0.3,405,997,2267.11,85.4,1614.01,42.7
Tower Type B2,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.05+0.364j),3.0141344573676314e-06j,(0.999+0j),(1.591+11.65j),(-0+0j),(0.999+0j),132.0,699.8,131.1,-3.6,0.7,-1.0,7.2,0.84,495,1224,1273.66,82.2,910.87,41.1
Tower Type B2,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.025+0.271j),4.0544060841512455e-06j,(0.999+0j),(0.796+8.661j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.6,0.7,-1.4,9.2,0.42,495,1224,1814.03,84.8,1292.58,42.4
Tower Type B2,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.025+0.262j),4.194448718848093e-06j,(0.999+0j),(0.796+8.371j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.6,0.7,-1.4,9.3,0.42,495,1224,1869.58,84.6,1332.5,42.3
Tower Type B2,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.017+0.241j),4.547632798356005e-06j,(0.999+0j),(0.53+7.721j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.3,0.7,-1.6,11.3,0.28,495,1224,2092.08,86.1,1487.87,43.0
Tower Type B2,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.017+0.226j),4.851638073011554e-06j,(0.999+0j),(0.53+7.237j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.2,0.7,-1.7,11.5,0.28,495,1224,2220.11,85.8,1579.52,42.9
Tower Type B2,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.012+0.217j),5.066635213222634e-06j,(0.999+0j),(0.398+6.93j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.1,0.7,-1.8,13.3,0.21,495,1224,2361.73,86.7,1678.08,43.4
Tower Type B1 – Double,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.305+0.425j),2.5838386906892727e-06j,(0.999+0j),(9.748+13.591j),(-0+0j),(0.999+0j),132.0,699.8,125.5,-4.3,0.7,-0.9,6.1,5.17,110,308,441.66,54.4,332.36,27.2
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.152+0.292j),3.7588928284601294e-06j,(0.999+0j),(4.874+9.342j),(-0+0j),(0.999+0j),132.0,699.8,128.7,-2.9,0.7,-1.3,7.4,2.58,110,308,885.12,62.4,651.62,31.2
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.152+0.283j),3.878962597219783e-06j,(0.999+0j),(4.874+9.053j),(-0+0j),(0.999+0j),132.0,699.8,128.7,-2.8,0.7,-1.3,7.5,2.58,110,308,888.59,61.7,654.85,30.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.102+0.249j),4.3988582926442925e-06j,(0.999+0j),(3.249+7.983j),(-0+0j),(0.999+0j),132.0,699.8,129.8,-2.5,0.7,-1.5,8.7,1.72,110,308,1250.86,67.9,912.51,33.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.102+0.234j),4.682677340496768e-06j,(0.999+0j),(3.249+7.499j),(-0+0j),(0.999+0j),132.0,699.8,129.8,-2.3,0.7,-1.6,8.9,1.72,110,308,1276.69,66.6,932.85,33.3
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.076+0.218j),5.029421686258565e-06j,(0.999+0j),(2.437+6.982j),(-0+0j),(0.999+0j),132.0,699.8,130.3,-2.1,0.7,-1.7,10.0,1.29,110,308,1569.33,70.8,1139.79,35.4
Tower Type B1 – Double,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.093+0.387j),2.8327168972285187e-06j,(0.999+0j),(2.972+12.396j),(-0+0j),(0.999+0j),132.0,699.8,130.1,-3.8,0.7,-1.0,6.6,1.58,216,636,1037.85,76.5,748.42,38.3
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.046+0.273j),4.0155120477312335e-06j,(0.999+0j),(1.486+8.744j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.7,0.7,-1.4,8.3,0.79,216,636,1625.69,80.4,1165.59,40.2
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.046+0.264j),4.1528352016030125e-06j,(0.999+0j),(1.486+8.455j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.6,0.7,-1.4,8.4,0.79,216,636,1668.43,80.0,1196.75,40.0
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.031+0.237j),4.629686343379485e-06j,(0.999+0j),(0.991+7.584j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.3,0.7,-1.6,10.1,0.53,216,636,1974.51,82.6,1411.27,41.3
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.031+0.222j),4.9451414956005e-06j,(0.999+0j),(0.991+7.101j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.2,0.7,-1.7,10.3,0.53,216,636,2085.55,82.1,1491.65,41.0
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.023+0.209j),5.254053275215045e-06j,(0.999+0j),(0.743+6.683j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.0,0.7,-1.8,11.9,0.39,216,636,2297.08,83.7,1639.26,41.8
Tower Type B1 – Double,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.056+0.372j),2.9540938618574357e-06j,(0.999+0j),(1.79+11.886j),(-0+0j),(0.999+0j),132.0,699.8,130.9,-3.6,0.7,-1.0,7.0,0.95,299,875,1225.41,81.4,877.36,40.7
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.028+0.265j),4.135959044669734e-06j,(0.999+0j),(0.895+8.49j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.6,0.7,-1.4,9.2,0.47,299,875,1820.07,84.0,1298.3,42.0
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.028+0.256j),4.2817934801743536e-06j,(0.999+0j),(0.895+8.201j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.5,0.7,-1.5,9.3,0.47,299,875,1875.73,83.8,1338.4,41.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.019+0.232j),4.735690385091749e-06j,(0.999+0j),(0.597+7.415j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.3,0.7,-1.6,11.4,0.32,299,875,2148.63,85.4,1529.56,42.7
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.019+0.217j),5.066272358331339e-06j,(0.999+0j),(0.597+6.931j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.1,0.7,-1.7,11.6,0.32,299,875,2283.5,85.1,1626.31,42.5
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.014+0.205j),5.356098298432733e-06j,(0.999+0j),(0.448+6.556j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.0,0.7,-1.9,13.6,0.24,299,875,2465.67,86.1,1753.49,43.0
Tower Type B1 – Double,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.036+0.357j),3.0709760466122096e-06j,(0.999+0j),(1.142+11.434j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-3.5,0.7,-1.1,7.6,0.61,405,997,1359.9,84.3,969.65,42.1
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.018+0.258j),4.249172540753887e-06j,(0.999+0j),(0.571+8.264j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.5,0.7,-1.5,10.5,0.3,405,997,1953.8,86.0,1389.58,43.0
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.018+0.249j),4.4032488016983794e-06j,(0.999+0j),(0.571+7.974j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.4,0.7,-1.5,10.6,0.3,405,997,2018.78,85.9,1436.08,43.0
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.012+0.227j),4.8340046904872875e-06j,(0.999+0j),(0.381+7.264j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.2,0.7,-1.7,13.3,0.2,405,997,2266.19,87.0,1609.53,43.5
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.012+0.212j),5.178954999437324e-06j,(0.999+0j),(0.381+6.78j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.1,0.7,-1.8,13.5,0.2,405,997,2417.69,86.8,1717.66,43.4
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.009+0.201j),5.450123107753459e-06j,(0.999+0j),(0.285+6.443j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.0,0.7,-1.9,16.2,0.15,405,997,2578.58,87.5,1830.17,43.7
Tower Type B1 – Double,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.025+0.346j),3.1715784957800177e-06j,(0.999+0j),(0.796+11.071j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-3.4,0.7,-1.1,8.4,0.42,495,1224,1453.11,85.9,1033.72,42.9
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.012+0.253j),4.344511853575704e-06j,(0.999+0j),(0.398+8.082j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.5,0.7,-1.5,12.0,0.21,495,1224,2043.95,87.2,1451.31,43.6
Tower Type B1 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 31.5 mm diameter,(0.012+0.244j),4.505710892106696e-06j,(0.999+0j),(0.398+7.793j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.4,0.7,-1.6,12.1,0.21,495,1224,2115.42,87.1,1502.28,43.5
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 31.5 mm diameter,(0.008+0.223j),4.9158207409105975e-06j,(0.999+0j),(0.265+7.143j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.2,0.7,-1.7,15.6,0.14,495,1224,2344.37,87.9,1662.94,43.9
Tower Type B1 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 31.5 mm diameter,(0.008+0.208j),5.272977866755299e-06j,(0.999+0j),(0.265+6.659j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.0,0.7,-1.8,15.8,0.14,495,1224,2507.19,87.7,1778.84,43.9
Tower Type B1 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 31.5 mm diameter,(0.006+0.199j),5.527920450937468e-06j,(0.999+0j),(0.199+6.352j),(-0+0j),(0.999+0j),132.0,699.8,131.9,-1.9,0.7,-1.9,19.2,0.11,495,1224,2653.2,88.2,1881.09,44.1
Tower Type B2 – Double,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.305+0.443j),2.4783709037108816e-06j,(0.999+0j),(9.748+14.169j),(-0+0j),(0.999+0j),132.0,699.8,125.5,-4.5,0.7,-0.8,6.5,5.17,110,308,444.17,55.5,333.5,27.7
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.152+0.31j),3.5397531334770054e-06j,(0.999+0j),(4.874+9.92j),(-0+0j),(0.999+0j),132.0,699.8,128.7,-3.1,0.7,-1.2,7.8,2.58,110,308,876.18,63.8,643.81,31.9
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.152+0.301j),3.646033178574553e-06j,(0.999+0j),(4.874+9.631j),(-0+0j),(0.999+0j),132.0,699.8,128.7,-3.0,0.7,-1.2,7.9,2.58,110,308,880.95,63.2,647.91,31.6
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.102+0.268j),4.101697355857075e-06j,(0.999+0j),(3.249+8.561j),(-0+0j),(0.999+0j),132.0,699.8,129.8,-2.6,0.7,-1.4,9.1,1.72,110,308,1218.17,69.2,887.12,34.6
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.102+0.252j),4.347394433587209e-06j,(0.999+0j),(3.249+8.077j),(-0+0j),(0.999+0j),132.0,699.8,129.8,-2.5,0.7,-1.5,9.3,1.72,110,308,1245.63,68.1,908.42,34.0
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.076+0.236j),4.644685940719138e-06j,(0.999+0j),(2.437+7.56j),(-0+0j),(0.999+0j),132.0,699.8,130.3,-2.3,0.7,-1.6,10.4,1.29,110,308,1509.74,72.1,1094.63,36.1
Tower Type B2 – Double,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.093+0.406j),2.7064494980165873e-06j,(0.999+0j),(2.972+12.974j),(-0+0j),(0.999+0j),132.0,699.8,130.2,-4.0,0.7,-0.9,6.9,1.58,216,636,1006.65,77.1,725.34,38.5
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.046+0.291j),3.7664211017202773e-06j,(0.999+0j),(1.486+9.323j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.8,0.7,-1.3,8.7,0.79,216,636,1546.03,80.9,1107.59,40.5
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.046+0.282j),3.8869800139192675e-06j,(0.999+0j),(1.486+9.034j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-2.8,0.7,-1.3,8.8,0.79,216,636,1584.93,80.7,1135.9,40.3
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.031+0.255j),4.301683115058902e-06j,(0.999+0j),(0.991+8.163j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.5,0.7,-1.5,10.5,0.53,216,636,1855.9,83.1,1325.54,41.5
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.031+0.24j),4.572714666294702e-06j,(0.999+0j),(0.991+7.679j),(-0+0j),(0.999+0j),132.0,699.8,131.3,-2.3,0.7,-1.6,10.6,0.53,216,636,1954.14,82.6,1396.54,41.3
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.023+0.227j),4.835612411215029e-06j,(0.999+0j),(0.743+7.261j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.2,0.7,-1.7,12.2,0.39,216,636,2136.95,84.2,1523.93,42.1
Tower Type B2 – Double,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.056+0.39j),2.8170357383876282e-06j,(0.999+0j),(1.79+12.465j),(-0+0j),(0.999+0j),132.0,699.8,131.0,-3.8,0.7,-1.0,7.4,0.95,299,875,1179.14,81.8,843.78,40.9
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.028+0.283j),3.872191594001406e-06j,(0.999+0j),(0.895+9.068j),(-0+0j),(0.999+0j),132.0,699.8,131.5,-2.8,0.7,-1.3,9.6,0.47,299,875,1717.93,84.4,1224.78,42.2
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 21.0 mm diameter,(0.028+0.274j),3.999731415782102e-06j,(0.999+0j),(0.895+8.779j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-2.7,0.7,-1.4,9.7,0.47,299,875,1767.55,84.2,1260.49,42.1
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 21.0 mm diameter,(0.019+0.25j),4.393050708387671e-06j,(0.999+0j),(0.597+7.993j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.4,0.7,-1.5,11.8,0.32,299,875,2006.77,85.7,1427.9,42.9
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 21.0 mm diameter,(0.019+0.235j),4.6760967169005954e-06j,(0.999+0j),(0.597+7.509j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-2.3,0.7,-1.6,12.0,0.32,299,875,2124.11,85.5,1511.98,42.7
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 21.0 mm diameter,(0.014+0.223j),4.921917141501634e-06j,(0.999+0j),(0.448+7.134j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.2,0.7,-1.7,14.0,0.24,299,875,2280.19,86.4,1620.86,43.2
Tower Type B2 – Double,No bundling – 1 conductor,AAC 26.3 mm diameter,(0.036+0.375j),2.9231290351695497e-06j,(0.999+0j),(1.142+12.012j),(-0+0j),(0.999+0j),132.0,699.8,131.4,-3.7,0.7,-1.0,8.0,0.61,405,997,1302.04,84.6,928.02,42.3
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 26.3 mm diameter,(0.018+0.276j),3.971252417961687e-06j,(0.999+0j),(0.571+8.842j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.7,0.7,-1.4,10.8,0.3,405,997,1835.58,86.3,1305.01,43.2
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 32 cm",AAC 26.3 mm diameter,(0.018+0.267j),4.1055144500563375e-06j,(0.999+0j),(0.571+8.553j),(-0+0j),(0.999+0j),132.0,699.8,131.7,-2.6,0.7,-1.4,10.9,0.3,405,997,1892.86,86.2,1345.97,43.1
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 23 cm ",AAC 26.3 mm diameter,(0.012+0.245j),4.477526194262683e-06j,(0.999+0j),(0.381+7.842j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.4,0.7,-1.5,13.7,0.2,405,997,2108.24,87.2,1496.87,43.6
Tower Type B2 – Double,"Bundling spacer – 3 conductor, 33 cm",AAC 26.3 mm diameter,(0.012+0.23j),4.771927191903771e-06j,(0.999+0j),(0.381+7.358j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.2,0.7,-1.6,13.9,0.2,405,997,2238.79,87.0,1589.98,43.5
Tower Type B2 – Double,"Bundling spacer – 4 conductor, 26 cm",AAC 26.3 mm diameter,(0.009+0.219j),5.001203122149354e-06j,(0.999+0j),(0.285+7.021j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.1,0.7,-1.7,16.5,0.15,405,997,2375.8,87.7,1685.73,43.8
Tower Type B2 – Double,No bundling – 1 conductor,AAC 31.5 mm diameter,(0.025+0.364j),3.0141344573676314e-06j,(0.999+0j),(0.796+11.65j),(-0+0j),(0.999+0j),132.0,699.8,131.6,-3.5,0.7,-1.0,8.8,0.42,495,1224,1386.81,86.1,986.27,43.0
Tower Type B2 – Double,"Bundling spacer – 2 conductor, 24 cm",AAC 31.5 mm diameter,(0.012+0.271j),4.0544060841512455e-06j,(0.999+0j),(0.398+8.661j),(-0+0j),(0.999+0j),132.0,699.8,131.8,-2.6,0.7,-1.4,12.4,0.21,495,1224,1914.58,87.4,1359.07,43.7
